,Feature,Importance
0,P04180,0.051354967
1,Q6UXD5,0.023018207
2,Q9Y6R7,0.022715893
3,P31997,0.019188378
4,P39060,0.018137353
5,P01860,0.016966779
6,Q06481,0.016710984
7,P08133,0.016450444
8,P20774,0.015097354
9,P05060,0.014035692
10,P06396,0.013532639
11,P02656,0.013356116
12,P10451,0.013247357
13,P01594,0.012916308
14,P08123,0.012888999
15,Q92823,0.012154923
16,P02753,0.012119122
17,P11142,0.012087027
18,Q7Z5P9,0.012083301
19,P17174,0.011594341
20,Q9BY67,0.011351184
21,P00748,0.011306654
22,P25311,0.011297928
23,Q92876,0.010691788
24,P13591,0.0102754
25,P02766,0.010241205
26,Q6UXB8,0.010227356
27,P05067,0.010044295
28,Q16270,0.009270784
29,P02748,0.009260489
30,P36955,0.009110183
31,P04211,0.008872745
32,P01019,0.008670187
33,P43121,0.008506324
34,P05090,0.008446023
35,P23083,0.008404323
36,P07339,0.008347547
37,P98160,0.007813886
38,P06310,0.0076605394
39,P13611,0.0072817835
40,P01861,0.007279998
41,P06681,0.0072109443
42,P61916,0.0070473696
43,P02768,0.0069645285
44,Q99832,0.006893481
45,P14618,0.0068757734
46,Q9UNU6,0.006855049
47,P02675,0.006403338
48,P01011,0.006330471
49,P02749,0.006300481
50,P08294,0.006185353
51,P01876,0.0061684307
52,O14773,0.006159142
53,P55290,0.0061561186
54,P02679,0.0060898336
55,P01877,0.006001344
56,P36222,0.0058878027
57,P01033,0.005791271
58,P16035,0.0057766787
59,P19823,0.005518605
60,Q9UKV8,0.0052178563
61,P01591,0.0052064834
62,P00738,0.0050806305
63,P02647,0.005018021
64,P00736,0.0048468895
65,P05452,0.004685242
66,P01042,0.0046836752
67,P02751,0.0046335654
68,P27169,0.004592299
69,P04275,0.0045367605
70,P01009,0.004500881
71,P01621,0.0044708746
72,P80748,0.0044674487
73,P32754,0.004441926
74,P02763,0.004343497
75,P43251,0.0043304577
76,Q9UBR2,0.004264903
77,P01034,0.0041783135
78,P04004,0.004147079
79,O94919,0.004087766
80,Q12841,0.0040290277
81,P40925,0.004028506
82,P19021,0.003881229
83,P02671,0.003874222
84,P13521,0.0038738025
85,P04207,0.0038634788
86,Q13740,0.0038395561
87,P02652,0.0038378108
88,Q99969,0.003790331
89,P49908,0.0036269564
90,Q15904,0.003613759
91,P02649,0.0035735248
92,P08253,0.0034549413
93,P04196,0.003401816
94,Q99674,0.0033987612
95,O75144,0.0033190814
96,P09104,0.0033167982
97,P13671,0.003275294
98,P00747,0.0032739318
99,P07225,0.0032582572
100,P01857,0.0032284143
101,Q14624,0.0031525963
102,P02792,0.003128657
103,P02747,0.0030875523
104,P06454,0.0030838344
105,P01608,0.003061089
106,P20933,0.0030200698
107,P02790,0.0030176304
108,Q9Y646,0.0030066099
109,P00734,0.0029726473
110,P51884,0.002910045
111,P04216,0.0029072603
112,P02655,0.002879504
113,P16870,0.00286976
114,P08571,0.002823521
115,P08603,0.0027786123
116,Q9UBX5,0.0027681468
117,Q14118,0.0027626539
118,P24592,0.0027426316
119,P08637,0.0026921902
120,O15240,0.0026617586
121,Q12907,0.0026116157
122,P10643,0.0025885848
123,P02765,0.0025604255
124,P00751,0.0024779143
125,Q96PD5,0.00245161
126,P05546,0.0023403584
127,Q14515,0.0022199997
128,O60888,0.002196889
129,P61278,0.0021770908
130,P11277,0.002040078
131,Q9NYU2,0.002017209
132,P00441,0.0020142798
133,P16152,0.0020095431
134,Q8NE71,0.0019878221
135,O43505,0.001983013
136,Q96BZ4,0.0019757717
137,P01717,0.0019711058
138,P13987,0.0019672965
139,P14314,0.0019653982
140,Q7Z3B1,0.0019597115
