,Feature,Importance
0,P13521,0.04298253
1,P01019,0.026376005
2,P10645,0.024918923
3,Q9NQ79,0.023969617
4,P01042,0.023801394
5,P17174,0.020768626
6,P05155,0.018399581
7,Q06481,0.018105228
8,P01780,0.016106391
9,Q9Y6R7,0.01514386
10,Q12841,0.015092282
11,Q9NYU2,0.01432314
12,P13473,0.013969293
13,P01876,0.013558317
14,P01861,0.013013286
15,Q9UBX5,0.013001625
16,P05067,0.012473933
17,P43121,0.01165396
18,P25311,0.011310807
19,P08571,0.011104912
20,P02675,0.010838167
21,P31997,0.010775941
22,P02774,0.010506674
23,P23083,0.0103920335
24,P04207,0.010374465
25,Q99969,0.009929921
26,P08493,0.0098053645
27,P60174,0.008884565
28,P36955,0.008614818
29,P43652,0.00843642
30,P02748,0.008315484
31,P07858,0.008286134
32,P12109,0.007858081
33,Q13451,0.007781221
34,Q562R1,0.0074087903
35,P02760,0.0073540076
36,P08123,0.0072671105
37,Q99832,0.00720959
38,P00738,0.0068596937
39,P17936,0.006821634
40,P01859,0.0067810006
41,P02671,0.0066679576
42,P06454,0.0066336445
43,P00747,0.0066296477
44,P01009,0.0065608537
45,Q96KN2,0.0063668303
46,P36222,0.006334101
47,Q16610,0.006271753
48,P02655,0.0062037455
49,Q96S96,0.0061244634
50,P01033,0.0061159763
51,P61626,0.0060023614
52,P01621,0.0059759887
53,P55290,0.0059616263
54,P08294,0.0059406
55,P43251,0.0059198188
56,P01011,0.0058702994
57,Q08380,0.005586883
58,P41222,0.0054853717
59,P08603,0.005441787
60,P14618,0.0053640446
61,P14314,0.00536182
62,O15240,0.0052576363
63,O75144,0.0052495496
64,Q99674,0.005127678
65,Q14118,0.0050893934
66,P61278,0.004963861
67,Q6UXD5,0.004949656
68,Q92823,0.004923716
69,P01594,0.004911213
70,P02750,0.004775124
71,P10909,0.0047484473
72,Q14624,0.0047342265
73,P08133,0.00471081
74,P98160,0.0046990295
75,P04196,0.0046510235
76,P02747,0.0046398332
77,Q16270,0.0046259067
78,P80748,0.0046229125
79,P01877,0.0045019123
80,P05060,0.0044999938
81,Q6UXB8,0.0044445987
82,P06310,0.0044226013
83,P49908,0.0044096396
84,P02792,0.0043926593
85,P10643,0.004376435
86,P11142,0.0043302276
87,P51884,0.0043105297
88,P07339,0.004245552
89,P02649,0.004133466
90,Q9UNU6,0.0041226083
91,O94919,0.0040925667
92,P08697,0.0039286776
93,P02753,0.0037911523
94,P01717,0.0037503932
95,P05546,0.0037455698
96,P32754,0.0034977163
97,P09104,0.003488669
98,P02656,0.003463287
99,P00748,0.0034424562
100,P02452,0.0033533627
101,Q96PD5,0.003352734
102,P02766,0.003315634
103,P06681,0.0032332768
104,P02647,0.0032115527
105,P30086,0.0031986127
106,P05156,0.0030974178
107,P10451,0.0030394613
108,P09486,0.0030361193
109,P11277,0.0030199317
110,P02768,0.003018898
111,P07195,0.0029316188
112,P19652,0.0028420314
113,P36980,0.0027731245
114,P08253,0.0027558361
115,P24592,0.0027181983
116,O00533,0.0026884533
117,P01860,0.0025443279
118,P01857,0.002506096
119,Q96BZ4,0.0024818394
120,P00450,0.0024607342
121,P49588,0.0024154836
122,Q8N2S1,0.0023912005
123,O43505,0.002373348
124,Q12805,0.0023324538
125,Q9HDC9,0.0022643183
126,P23142,0.002260794
127,P04156,0.002179271
128,P39060,0.0021498448
129,P04406,0.0021071434
130,P01834,0.0020537146
131,P04211,0.0020303659
132,P09871,0.0019501615
133,P01034,0.0019179867
134,Q13283,0.0019021961
135,P19823,0.0018855982
136,P00441,0.0018552053
137,O15394,0.0017721346
138,P05090,0.0017690691
139,P02652,0.0016875106
140,P01608,0.0016294119
141,P19021,0.0016247153
142,P20933,0.0015877781
143,P02765,0.0015701217
144,P07225,0.001568232
145,P02763,0.0015562171
146,P04216,0.0014747888
147,P16870,0.0014680976
148,P16070,0.0014549812
149,P00751,0.0014265229
150,P61769,0.0014246004
151,P01833,0.0013271777
152,Q99435,0.001322853
153,P01031,0.0013111965
154,P54289,0.001299648
155,Q9UBR2,0.0012874156
156,P07711,0.0012862722
157,P20774,0.001285151
158,Q7Z3B1,0.0012508995
159,P01591,0.0012078845
160,P35542,0.0011915427
161,Q13740,0.001184499
162,P04075,0.0010962464
163,P05408,0.0010561069
164,O00584,0.0010365506
165,P02749,0.001027907
166,P08637,0.0010018232
167,P01344,0.0009999315
168,O60888,0.0009939932
169,P04180,0.0009641513
170,P04217,0.0009544735
171,Q8NE71,0.0009137481
172,P13591,0.00091316743
173,Q7Z5P9,0.0009070296
174,Q9UKV8,0.0008927897
175,P13987,0.0008883614
176,P02679,0.00087712886
177,P00734,0.00086116226
178,Q13449,0.000835158
179,P40925,0.00079075614
180,O14773,0.00076642307
181,P00736,0.00074292254
182,P04004,0.0007138032
183,Q9UHG2,0.0006942071
184,P01023,0.0006935238
185,Q8IWV7,0.0006022657
186,P19827,0.00060173817
187,Q99683,0.0005566854
188,P27169,0.0005502368
189,Q6UX71,0.00052648125
190,P18065,0.00052413275
191,O14791,0.0005226744
192,Q9Y646,0.00052159006
193,Q12907,0.0005193415
194,Q9BY67,0.00048559223
195,P13611,0.00042780087
196,O75326,0.0004161836
197,P02787,0.00040999058
198,O14498,0.00040662524
199,Q8NBJ4,0.00038973746
200,O00391,0.0003857851
201,P01008,0.00038527837
202,P00746,0.00036388534
203,P02790,0.00035158603
204,P06727,0.0003226034
205,P07333,0.00032116543
206,P04275,0.00030097496
207,Q92876,0.00027528172
208,P61916,0.0002722597
209,Q15904,0.00024767642
210,P06396,0.00021892869
211,P04433,0.00021764549
212,Q02818,0.000180911
213,P02751,0.00016215273
214,P13671,0.00013813507
215,P05452,0.0001240582
216,P16035,0.00012144056
217,P16152,9.209168e-05
218,P07602,8.215866e-05
219,P14174,6.0808667e-05
220,P01024,5.742268e-05
221,Q13332,4.4065833e-05
222,Q99829,4.4008193e-05
223,P07998,2.2642005e-05
224,Q14515,1.8153205e-05
225,Q14508,1.619421e-05
226,Q92520,8.031079e-06
