,Feature,Importance
0,Q9UBX5,0.08782836
1,P39060,0.056803167
2,Q6UXB8,0.052772753
3,P23083,0.042715266
4,Q8NBJ4,0.041525662
5,P01780,0.03558278
6,P02656,0.03469933
7,P61626,0.032706935
8,P55290,0.032573216
9,P31997,0.032436553
10,P02749,0.03139094
11,Q8IWV7,0.027284537
12,P05155,0.024730051
13,P02763,0.023868326
14,Q92876,0.020294126
15,P20774,0.020293394
16,P04217,0.019072779
17,P19823,0.018220926
18,P04211,0.01815336
19,Q96PD5,0.017963354
20,P16070,0.017804679
21,P41222,0.017029298
22,Q13451,0.016656151
23,P01621,0.01624303
24,Q06481,0.0155113805
25,P07333,0.015227227
26,P00736,0.015114602
27,Q9NYU2,0.014169141
28,Q16610,0.013060011
29,P04207,0.010903233
30,P14174,0.0103232665
31,Q562R1,0.010285236
32,P13671,0.01026646
33,P25311,0.010098459
34,P13611,0.0094577
35,P01857,0.009395177
36,P08603,0.009367088
37,P01608,0.008705258
38,P04196,0.008595022
39,P19652,0.00747563
40,P01031,0.007347941
41,P08571,0.0069462983
42,P01009,0.006622473
43,P01023,0.006523803
44,Q8NE71,0.006273425
45,P14618,0.0057808487
46,P10909,0.0055875303
47,P16152,0.005427466
48,P01344,0.005351219
49,P06454,0.0046052635
50,P08493,0.004189297
51,P04433,0.0037032878
52,O15394,0.0034885616
53,P04156,0.003397598
54,P01877,0.0032133847
55,P02655,0.0020857677
56,Q12841,0.0017879201
57,P02787,0.00047975584
58,P10645,0.0003214047
59,P43251,0.0002628162
