,Feature,Importance
0,P13473,0.06656856
1,P04180,0.052250255
2,Q92520,0.05095397
3,P61916,0.032124933
4,P17174,0.029697092
5,Q9UNU6,0.027403856
6,P02753,0.026882838
7,P16035,0.026323676
8,P05090,0.02611499
9,Q6UXB8,0.024611043
10,P05067,0.023372393
11,P09486,0.023098541
12,P16870,0.021654438
13,P01877,0.019045008
14,P25311,0.018744633
15,P02656,0.018528704
16,P01860,0.01834113
17,P16070,0.016785773
18,P07602,0.015703673
19,Q96BZ4,0.014584834
20,P51884,0.014523467
21,P01834,0.014032759
22,P01780,0.0137907
23,Q6UXD5,0.013254504
24,Q9Y6R7,0.013120507
25,P41222,0.012681379
26,Q06481,0.011801976
27,P01033,0.011065284
28,P07195,0.010945574
29,P80748,0.010442831
30,P01009,0.0104405545
31,P40925,0.010020152
32,P01717,0.0097498065
33,Q96S96,0.009637584
34,Q14118,0.009569011
35,P08133,0.0093805455
36,Q13451,0.009092302
37,P01859,0.0086344555
38,P13521,0.007843955
39,Q8IWV7,0.0077102324
40,P20933,0.0075120265
41,P36222,0.007399256
42,Q16270,0.0073953
43,P06681,0.007322841
44,P04207,0.0071733133
45,Q99969,0.007170003
46,P13591,0.007042017
47,P08493,0.0068784067
48,P02774,0.0068464167
49,P05156,0.0068306504
50,P02652,0.0067514163
51,P19827,0.0066516986
52,Q9NQ79,0.0065646367
53,P05155,0.0065644225
54,P01031,0.00652677
55,P23083,0.0064073177
56,P04216,0.00630655
57,P02748,0.0060312985
58,P01344,0.0057527344
59,P00746,0.0052795354
60,Q13740,0.005117017
61,P01034,0.004971005
62,P07858,0.0049325046
63,P09104,0.0046869167
64,Q8NE71,0.0046100724
65,P00748,0.0045641935
66,P07711,0.0043886136
67,P30086,0.004384795
68,P00736,0.0042471983
69,P02787,0.004029106
70,P10909,0.003821734
71,O75144,0.0033733037
72,Q9Y646,0.003310038
73,P17936,0.0031732814
74,P31997,0.0031390325
75,O14773,0.0031331957
76,Q8N2S1,0.0031076784
77,P01011,0.0030987398
78,Q13332,0.0027473923
79,P02766,0.0027074518
80,P14314,0.0026487513
81,P05452,0.0025877848
82,P02671,0.002462283
83,P12109,0.002415731
84,P14174,0.0022106483
85,P19021,0.0019689612
86,P39060,0.0019624748
87,P13987,0.001265586
