,Feature,Importance
0,Q9Y6R7,0.05122318
1,Q7Z5P9,0.049034752
2,P04180,0.047030985
3,P39060,0.033680793
4,P61916,0.028802125
5,P01860,0.026812151
6,P14618,0.026693506
7,P01042,0.023172237
8,P31997,0.022827165
9,P25311,0.021218015
10,P13591,0.020887686
11,P17174,0.020300984
12,P08133,0.019777987
13,P43121,0.019156737
14,P36222,0.018780995
15,P16035,0.017674185
16,P01861,0.017555796
17,P23083,0.017467253
18,Q92876,0.017153164
19,P01591,0.016704556
20,P01876,0.016377227
21,Q9UBR2,0.015621777
22,P02766,0.015019809
23,Q6UXB8,0.0149826845
24,P36955,0.014425595
25,P49908,0.013878806
26,Q92823,0.01281663
27,P05067,0.012769876
28,P05090,0.01270134
29,P08253,0.012396145
30,P02671,0.011646364
31,Q15904,0.010868491
32,P02652,0.010407171
33,Q06481,0.010366447
34,P02753,0.010364116
35,P02675,0.010322
36,Q9UNU6,0.010066908
37,Q13740,0.009681697
38,Q6UXD5,0.009533812
39,P19823,0.009384454
40,P02748,0.009003836
41,Q16270,0.008863402
42,P43251,0.008743101
43,P02751,0.008731522
44,P06681,0.008632036
45,P06396,0.008144101
46,P11142,0.008075182
47,P32754,0.007735686
48,P13521,0.007668135
49,P00748,0.007559595
50,P00738,0.007438469
51,P02749,0.0074248854
52,P55290,0.007414049
53,P20774,0.00727704
54,P05060,0.007249221
55,P01594,0.0067323674
56,P08294,0.0065988735
57,P19021,0.006587425
58,P10451,0.0064034127
59,P01034,0.0062959404
60,P27169,0.00622566
61,P02763,0.006150294
62,Q12841,0.0058093984
63,P80748,0.0054923138
64,P05452,0.0051389774
65,P01877,0.0051277904
66,Q9UKV8,0.0047660344
67,P02768,0.0043397835
68,P02649,0.0038914457
69,P04275,0.0038302557
70,Q99969,0.0037597239
71,P40925,0.0036865245
72,P01033,0.0029543457
73,P08123,0.0027513797
74,P04207,0.0024220224
75,P01011,0.0022285872
76,P02656,0.0021425125
77,P01621,0.0018948693
78,P00736,0.0017947813
79,O14773,0.0017196281
80,P04004,0.00171239
81,P01019,0.0017003015
82,P02647,0.0016237446
83,P07339,0.0013160134
84,P04196,0.0011717367
85,O94919,0.0008708041
86,P13611,0.0008582947
87,P02679,0.0007040802
88,P98160,0.000691295
89,Q9BY67,0.00044155028
90,P04211,0.0003411101
91,P01009,0.0002784187
